numer,imię i nazwisko,status,pozycja,narodowość,flaga,data urodzenia,wiek,mecze,minuty,gole,asysty,żółte kartki,czerwone kartki,kanadyjka,gole samobójcze,asysta 2. stopnia,sprokurowany karny,wywalczony karny,karny,niestrzelony karny,główka,lewa,prawa,czyste konta,obronione karne
1,Konrad Forenc,,bramkarz,Polska,,17 lipca 1992,33,,,0,,,,0,,,,,,,,,,,
2,Kamil Sochań,,obrońca,Polska,,4 lutego 2004,22,,,0,,,,0,,,,,,,,,,,
3,Arkadiusz Kasperkiewicz,,obrońca,Polska,,29 września 1994,31,,,0,,,,0,,,,,,,,,,,
4,Marcin Biernat,,obrońca,Polska,,28 maja 1992,34,,,0,,,,0,,,,,,,,,,,
7,Maksymilian Sitek,,pomocnik,Polska,,4 grudnia 2000,25,,,0,,,,0,,,,,,,,,,,
8,Dalibor Takáč,,pomocnik,Słowacja,,11 października 1997,28,,,0,,,,0,,,,,,,,,,,
10,Daniel Pietraszkiewicz,,pomocnik,Polska,,12 września 2001,24,,,0,,,,0,,,,,,,,,,,
11,Oskar Zawada,(M),pomocnik,Polska,,17 listopada 2006,19,,,0,,,,0,,,,,,,,,,,
11,Tōki Hirosawa,,pomocnik,Japonia,,21 października 2002,23,,,0,,,,0,,,,,,,,,,,
14,Marcin Urynowicz,,pomocnik,Polska,,16 marca 1996,30,,,0,,,,0,,,,,,,,,,,
16,Kacper Smoliński,,pomocnik,Polska,,7 lutego 2001,25,,,0,,,,0,,,,,,,,,,,
17,Jan Majsterek,,obrońca,Polska,,9 czerwca 2000,26,,,0,,,,0,,,,,,,,,,,
18,Grzegorz Janusz,(M),napastnik,Polska,,8 maja 2006,20,,,0,,,,0,,,,,,,,,,,
21,Krzysztof Kolanko,(M),pomocnik,Polska,,3 sierpnia 2006,19,,,0,,,,0,,,,,,,,,,,
22,Kacper Gach,,obrońca,Polska,,11 lipca 1998,28,,,0,,,,0,,,,,,,,,,,
24,Piotr Twardosz,(M),obrońca,Polska,,2 czerwca 2007,19,,,0,,,,0,,,,,,,,,,,
26,Oskar Sewerzyński,,pomocnik,Polska,,12 sierpnia 2001,24,,,0,,,,0,,,,,,,,,,,
27,Aleksander Iwańczyk,(M),pomocnik,Polska,,12 lutego 2007,19,,,0,,,,0,,,,,,,,,,,
33,Bartosz Bieroński,(M),napastnik,Polska,,10 maja 2006,20,,,0,,,,0,,,,,,,,,,,
37,Oskar Tomczyk,(M),napastnik,Polska,,25 stycznia 2006,20,,,0,,,,0,,,,,,,,,,,
84,Bartosz Martosz,(M),napastnik,Polska,,11 listopada 2006,19,,,0,,,,0,,,,,,,,,,,
90,Lucjan Klisiewicz,,napastnik,Polska,,20 kwietnia 2002,24,,,0,,,,0,,,,,,,,,,,
95,Krzysztof Wiesner,(M),pomocnik,Polska,,13 października 2009,16,,,0,,,,0,,,,,,,,,,,
98,Wojciech Słomka,,pomocnik,Polska,,4 listopada 1998,27,,,0,,,,0,,,,,,,,,,,
99,Szymon Brańczyk,(M),bramkarz,Polska,,13 sierpnia 2006,19,,,0,,,,0,,,,,,,,,,,
